# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_historictimezone.txt
# zone
# tzid;format;offset;save;mode;untilYear;untilMonth;untilDay;untilDOW;untilTime;timeType

Africa/Abidjan;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Abidjan;LMT;-968;0;1;1912;1;1;-1;0;0
Africa/Accra;GMT/+0020;0;Ghana;1;3999;1;1;-1;0;0
Africa/Accra;LMT;-52;0;1;1918;1;1;-1;0;0
Africa/Addis_Ababa;EAT;10800;0;1;3999;1;1;-1;0;0
Africa/Addis_Ababa;+0245;9900;0;1;1960;1;1;-1;0;0
Africa/Addis_Ababa;+0230;9000;0;1;1940;1;1;-1;0;0
Africa/Addis_Ababa;EAT;10800;0;1;1930;1;1;-1;0;0
Africa/Addis_Ababa;LMT;8836;0;1;1928;7;1;-1;0;0
Africa/Algiers;CET;3600;0;1;3999;1;1;-1;0;0
Africa/Algiers;WE%sT;0;Algeria;1;1981;5;1;-1;0;0
Africa/Algiers;CE%sT;3600;Algeria;1;1979;10;26;-1;0;0
Africa/Algiers;WE%sT;0;Algeria;1;1977;10;21;-1;0;0
Africa/Algiers;CET;3600;0;1;1963;4;14;-1;0;0
Africa/Algiers;WET;0;0;1;1956;1;29;-1;0;0
Africa/Algiers;CE%sT;3600;Algeria;1;1946;10;7;-1;0;0
Africa/Algiers;WE%sT;0;Algeria;1;1940;2;25;-1;7200;0
Africa/Algiers;PMT;561;0;1;1911;3;11;-1;0;0
Africa/Algiers;LMT;732;0;1;1891;3;15;-1;60;0
Africa/Asmera;EAT;10800;0;1;3999;1;1;-1;0;0
Africa/Asmera;+0245;9900;0;1;1960;1;1;-1;0;0
Africa/Asmera;+0230;9000;0;1;1940;1;1;-1;0;0
Africa/Asmera;EAT;10800;0;1;1930;1;1;-1;0;0
Africa/Asmera;LMT;8836;0;1;1928;7;1;-1;0;0
Africa/Bamako;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Bamako;LMT;-968;0;1;1912;1;1;-1;0;0
Africa/Bangui;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Bangui;LMT;816;0;1;1919;9;1;-1;0;0
Africa/Banjul;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Banjul;LMT;-968;0;1;1912;1;1;-1;0;0
Africa/Bissau;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Bissau;-01;-3600;0;1;1975;1;1;-1;0;0
Africa/Bissau;LMT;-3740;0;1;1912;1;1;-1;3600;1
Africa/Blantyre;CAT;7200;0;1;3999;1;1;-1;0;0
Africa/Blantyre;LMT;7820;0;1;1903;3;1;-1;0;0
Africa/Brazzaville;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Brazzaville;LMT;816;0;1;1919;9;1;-1;0;0
Africa/Bujumbura;CAT;7200;0;1;3999;1;1;-1;0;0
Africa/Bujumbura;LMT;7820;0;1;1903;3;1;-1;0;0
Africa/Cairo;EE%sT;7200;Egypt;1;3999;1;1;-1;0;0
Africa/Cairo;LMT;7509;0;1;1900;10;1;-1;0;0
Africa/Casablanca;+01;3600;0;1;3999;1;1;-1;0;0
Africa/Casablanca;+00/+01;0;Morocco;1;2018;10;27;-1;0;0
Africa/Casablanca;+01;3600;0;1;1986;1;1;-1;0;0
Africa/Casablanca;+00/+01;0;Morocco;1;1984;3;16;-1;0;0
Africa/Casablanca;LMT;-1820;0;1;1913;10;26;-1;0;0
Africa/Ceuta;CE%sT;3600;EU;1;3999;1;1;-1;0;0
Africa/Ceuta;CET;3600;0;1;1986;1;1;-1;0;0
Africa/Ceuta;WE%sT;0;SpainAfrica;1;1984;3;16;-1;0;0
Africa/Ceuta;WET;0;0;1;1967;1;1;-1;0;0
Africa/Ceuta;WE%sT;0;Spain;1;1929;1;1;-1;0;0
Africa/Ceuta;WET;0;0;1;1924;1;1;-1;0;0
Africa/Ceuta;WEST;0;3600;1;1918;10;7;-1;82800;0
Africa/Ceuta;WET;0;0;1;1918;5;6;-1;82800;0
Africa/Ceuta;LMT;-1276;0;1;1900;12;31;-1;85124;0
Africa/Conakry;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Conakry;LMT;-968;0;1;1912;1;1;-1;0;0
Africa/Dakar;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Dakar;LMT;-968;0;1;1912;1;1;-1;0;0
Africa/Dar_es_Salaam;EAT;10800;0;1;3999;1;1;-1;0;0
Africa/Dar_es_Salaam;+0245;9900;0;1;1960;1;1;-1;0;0
Africa/Dar_es_Salaam;+0230;9000;0;1;1940;1;1;-1;0;0
Africa/Dar_es_Salaam;EAT;10800;0;1;1930;1;1;-1;0;0
Africa/Dar_es_Salaam;LMT;8836;0;1;1928;7;1;-1;0;0
Africa/Djibouti;EAT;10800;0;1;3999;1;1;-1;0;0
Africa/Djibouti;+0245;9900;0;1;1960;1;1;-1;0;0
Africa/Djibouti;+0230;9000;0;1;1940;1;1;-1;0;0
Africa/Djibouti;EAT;10800;0;1;1930;1;1;-1;0;0
Africa/Djibouti;LMT;8836;0;1;1928;7;1;-1;0;0
Africa/Douala;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Douala;LMT;816;0;1;1919;9;1;-1;0;0
Africa/El_Aaiun;+01;3600;0;1;3999;1;1;-1;0;0
Africa/El_Aaiun;+00/+01;0;Morocco;1;2018;10;27;-1;0;0
Africa/El_Aaiun;-01;-3600;0;1;1976;4;14;-1;0;0
Africa/El_Aaiun;LMT;-3168;0;1;1934;1;1;-1;0;0
Africa/Freetown;GMT;0;0;1;3999;1;1;-1;0;0
Africa/Freetown;LMT;-968;0;1;1912;1;1;-1;0;0
