# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_saving.txt
# saving;from;to;dstmode;dstmonth;dstday;dstDOW;dstseconds;dsttimeType;dstoffset;dstletter;mode;month;day;DOW;seconds;timeType;letter

AN;2008;3999;3;10;1;1;7200;2;3600;D;3;4;1;1;7200;2;S
AN;2007;2007;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AN;2006;2006;2;10;-1;1;7200;2;3600;D;3;4;1;1;7200;2;S
AN;2001;2005;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AN;2000;2000;2;8;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AN;1996;1999;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AN;1990;1995;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AN;1987;1989;2;10;-1;1;7200;2;3600;D;3;3;15;1;7200;2;S
AN;1986;1986;1;10;19;-1;7200;2;3600;D;3;3;15;1;7200;2;S
AN;1983;1985;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AN;1982;1982;2;10;-1;1;7200;2;3600;D;3;4;1;1;7200;2;S
AN;1973;1981;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AN;1972;1972;2;10;-1;1;7200;2;3600;D;1;2;27;-1;7200;2;S
AN;1971;1971;2;10;-1;1;7200;2;3600;D;0;0;0;0;0;0;$
AQ;1992;1992;0;0;0;0;0;0;0;$;3;3;1;1;7200;2;S
AQ;1990;1991;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AQ;1989;1989;2;10;-1;1;7200;2;3600;D;0;0;0;0;0;0;$
AQ;1972;1972;0;0;0;0;0;0;0;$;2;2;-1;1;7200;2;S
AQ;1971;1971;2;10;-1;1;7200;2;3600;D;0;0;0;0;0;0;$
AS;2008;3999;3;10;1;1;7200;2;3600;D;3;4;1;1;7200;2;S
AS;2007;2007;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AS;2006;2006;2;10;-1;1;7200;2;3600;D;1;4;2;-1;7200;2;S
AS;1995;2005;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AS;1994;1994;2;10;-1;1;7200;2;3600;D;1;3;20;-1;7200;2;S
AS;1993;1993;2;10;-1;1;7200;2;3600;D;1;3;7;-1;7200;2;S
AS;1992;1992;2;10;-1;1;7200;2;3600;D;1;3;22;-1;7200;2;S
AS;1991;1991;2;10;-1;1;7200;2;3600;D;1;3;3;-1;7200;2;S
AS;1987;1990;2;10;-1;1;7200;2;3600;D;3;3;15;1;7200;2;S
AS;1986;1986;1;10;19;-1;7200;2;3600;D;3;3;15;1;7200;2;S
AS;1973;1985;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AS;1972;1972;2;10;-1;1;7200;2;3600;D;1;2;27;-1;7200;2;S
AS;1971;1971;2;10;-1;1;7200;2;3600;D;0;0;0;0;0;0;$
AT;2008;3999;3;10;1;1;7200;2;3600;D;3;4;1;1;7200;2;S
AT;2007;2007;3;10;1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AT;2006;2006;3;10;1;1;7200;2;3600;D;3;4;1;1;7200;2;S
AT;2001;2005;3;10;1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AT;2000;2000;2;8;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AT;1991;1999;3;10;1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AT;1988;1990;2;10;-1;1;7200;2;3600;D;3;3;15;1;7200;2;S
AT;1987;1987;3;10;22;1;7200;2;3600;D;3;3;15;1;7200;2;S
AT;1986;1986;3;10;15;1;7200;2;3600;D;3;3;1;1;7200;2;S
AT;1984;1985;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AT;1982;1983;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AT;1973;1981;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AT;1972;1972;2;10;-1;1;7200;2;3600;D;2;2;-1;1;7200;2;S
AT;1969;1971;2;10;-1;1;7200;2;3600;D;3;3;8;1;7200;2;S
AT;1968;1968;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AT;1967;1967;3;10;1;1;7200;2;3600;D;0;0;0;0;0;0;$
AV;2008;3999;3;10;1;1;7200;2;3600;D;3;4;1;1;7200;2;S
AV;2007;2007;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AV;2006;2006;2;10;-1;1;7200;2;3600;D;3;4;1;1;7200;2;S
AV;2001;2005;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AV;2000;2000;2;8;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AV;1995;1999;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AV;1991;1994;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AV;1988;1990;2;10;-1;1;7200;2;3600;D;3;3;15;1;7200;2;S
AV;1986;1987;3;10;15;1;7200;2;3600;D;3;3;15;1;7200;2;S
AV;1973;1985;2;10;-1;1;7200;2;3600;D;3;3;1;1;7200;2;S
AV;1972;1972;2;10;-1;1;7200;2;3600;D;2;2;-1;1;7200;2;S
AV;1971;1971;2;10;-1;1;7200;2;3600;D;0;0;0;0;0;0;$
AW;2009;2009;0;0;0;0;0;0;0;$;2;3;-1;1;7200;2;S
AW;2007;2008;2;10;-1;1;7200;2;3600;D;2;3;-1;1;7200;2;S
AW;2006;2006;1;12;3;-1;7200;2;3600;D;0;0;0;0;0;0;$
AW;1992;1992;0;0;0;0;0;0;0;$;3;3;1;1;7200;2;S
AW;1991;1991;1;11;17;-1;7200;2;3600;D;0;0;0;0;0;0;$
AW;1984;1984;0;0;0;0;0;0;0;$;3;3;1;1;7200;2;S
AW;1983;1983;2;10;-1;1;7200;2;3600;D;0;0;0;0;0;0;$
AW;1975;1975;0;0;0;0;0;0;0;$;3;3;1;1;7200;2;S
AW;1974;1974;2;10;-1;1;7200;2;3600;D;0;0;0;0;0;0;$
Albania;1984;1984;1;4;1;-1;0;0;3600;S;0;0;0;0;0;0;$
Albania;1983;1983;1;4;18;-1;0;0;3600;S;1;10;1;-1;0;0;$
Albania;1982;1982;1;5;2;-1;0;0;3600;S;1;10;3;-1;0;0;$
Albania;1981;1981;1;4;26;-1;0;0;3600;S;1;9;27;-1;0;0;$
Albania;1980;1980;1;5;3;-1;0;0;3600;S;1;10;4;-1;0;0;$
Albania;1979;1979;1;5;5;-1;0;0;3600;S;1;9;30;-1;0;0;$
Albania;1978;1978;1;5;6;-1;0;0;3600;S;1;10;1;-1;0;0;$
Albania;1977;1977;1;5;8;-1;0;0;3600;S;1;10;2;-1;0;0;$
Albania;1976;1976;1;5;2;-1;0;0;3600;S;1;10;3;-1;0;0;$
Albania;1975;1975;1;5;1;-1;0;0;3600;S;1;10;2;-1;0;0;$
Albania;1974;1974;1;5;4;-1;0;0;3600;S;1;10;2;-1;0;0;$
Albania;1943;1943;1;3;29;-1;7200;0;3600;S;1;4;10;-1;10800;0;$
Albania;1942;1942;0;0;0;0;0;0;0;$;1;11;2;-1;10800;0;$
Albania;1940;1940;1;6;16;-1;0;0;3600;S;0;0;0;0;0;0;$
Algeria;1980;1980;1;4;25;-1;0;0;3600;S;1;10;31;-1;7200;0;$
Algeria;1978;1978;1;3;24;-1;3600;0;3600;S;1;9;22;-1;10800;0;$
Algeria;1977;1977;1;5;6;-1;0;0;3600;S;1;10;21;-1;0;0;$
Algeria;1971;1971;1;4;25;-1;82800;2;3600;S;1;9;26;-1;82800;2;$
Algeria;1945;1945;3;4;1;2;7200;0;3600;S;1;9;16;-1;3600;0;$
Algeria;1944;1944;3;4;1;2;7200;0;3600;S;1;10;8;-1;7200;0;$
Algeria;1939;1939;1;9;11;-1;82800;2;3600;S;1;11;19;-1;3600;0;$
Algeria;1921;1921;1;3;14;-1;82800;2;3600;S;1;6;21;-1;82800;2;$
Algeria;1920;1920;1;2;14;-1;82800;2;3600;S;1;10;23;-1;82800;2;$
Algeria;1919;1919;1;3;1;-1;82800;2;3600;S;3;10;1;1;82800;2;$
Algeria;1918;1918;1;3;9;-1;82800;2;3600;S;3;10;1;1;82800;2;$
Algeria;1917;1917;1;3;24;-1;82800;2;3600;S;3;10;1;1;82800;2;$
Algeria;1916;1916;1;6;14;-1;82800;2;3600;S;3;10;1;1;82800;2;$
Arg;2009;2009;0;0;0;0;0;0;0;$;3;3;15;1;0;0;$
Arg;2008;2008;3;10;15;1;0;0;3600;$;3;3;15;1;0;0;$
Arg;2007;2007;1;12;30;-1;0;0;3600;$;0;0;0;0;0;0;$
Arg;2000;2000;0;0;0;0;0;0;0;$;1;3;3;-1;0;0;$
Arg;1999;1999;3;10;1;1;0;0;3600;$;0;0;0;0;0;0;$
Arg;1993;1993;0;0;0;0;0;0;0;$;3;3;1;1;0;0;$
Arg;1989;1992;3;10;15;1;0;0;3600;$;3;3;1;1;0;0;$
Arg;1988;1988;1;12;1;-1;0;0;3600;$;0;0;0;0;0;0;$
Arg;1974;1974;1;1;23;-1;0;0;3600;$;1;5;1;-1;0;0;$
Arg;1969;1969;0;0;0;0;0;0;0;$;3;4;1;1;0;0;$
Arg;1968;1968;3;10;1;1;0;0;3600;$;3;4;1;1;0;0;$
Arg;1967;1967;3;10;1;1;0;0;3600;$;1;4;2;-1;0;0;$
Arg;1964;1966;1;10;15;-1;0;0;3600;$;1;3;1;-1;0;0;$
Arg;1963;1963;1;12;15;-1;0;0;3600;$;1;10;1;-1;0;0;$
Arg;1946;1946;1;10;1;-1;0;0;3600;$;1;3;1;-1;0;0;$
Arg;1943;1943;1;10;15;-1;0;0;3600;$;1;8;1;-1;0;0;$
Arg;1941;1941;1;10;15;-1;0;0;3600;$;1;6;15;-1;0;0;$
Arg;1940;1940;1;7;1;-1;0;0;3600;$;1;3;1;-1;0;0;$
Arg;1932;1939;1;11;1;-1;0;0;3600;$;1;3;1;-1;0;0;$
Arg;1931;1931;1;10;15;-1;0;0;3600;$;1;4;1;-1;0;0;$
Arg;1930;1930;1;12;1;-1;0;0;3600;$;0;0;0;0;0;0;$
Armenia;2011;2011;2;3;-1;1;7200;2;3600;$;2;10;-1;1;7200;2;$
Aus;1944;1944;0;0;0;0;0;0;0;$;2;3;-1;1;7200;0;S
Aus;1943;1943;1;10;3;-1;7200;0;3600;D;2;3;-1;1;7200;0;S
Aus;1942;1942;1;9;27;-1;7200;0;3600;D;0;0;0;0;0;0;$
Aus;1942;1942;1;1;1;-1;7200;0;3600;D;1;3;29;-1;7200;0;S
Aus;1917;1917;1;1;1;-1;60;0;3600;D;1;3;25;-1;7200;0;S
Austria;1980;1980;1;4;6;-1;0;0;3600;S;1;9;28;-1;0;0;$
Austria;1948;1948;1;4;18;-1;7200;2;3600;S;3;10;1;1;7200;2;$
Austria;1947;1947;1;4;6;-1;7200;2;3600;S;3;10;1;1;7200;2;$
Austria;1946;1946;1;4;14;-1;7200;2;3600;S;3;10;1;1;7200;2;$
Austria;1920;1920;1;4;5;-1;7200;2;3600;S;1;9;13;-1;7200;2;$
Azer;1997;2015;2;3;-1;1;14400;0;3600;$;2;10;-1;1;18000;0;$
Bahamas;1964;1975;2;4;-1;1;7200;0;3600;D;2;10;-1;1;7200;0;S
Barb;1980;1980;3;4;15;1;7200;0;3600;D;1;9;25;-1;7200;0;S
Barb;1979;1979;3;4;15;1;7200;0;3600;D;1;9;30;-1;7200;0;S
Barb;1978;1978;3;4;15;1;7200;0;3600;D;3;10;1;1;7200;0;S
Barb;1977;1977;1;6;12;-1;7200;0;3600;D;3;10;1;1;7200;0;S
Belgium;1946;1946;1;5;19;-1;7200;2;3600;S;1;10;7;-1;7200;2;$
Belgium;1945;1945;1;4;2;-1;7200;2;3600;S;1;9;16;-1;7200;2;$
Belgium;1944;1944;0;0;0;0;0;0;0;$;1;9;17;-1;7200;2;$
Belgium;1940;1940;1;2;25;-1;7200;2;3600;S;0;0;0;0;0;0;$
Belgium;1939;1939;1;4;16;-1;7200;2;3600;S;1;11;19;-1;7200;2;$
Belgium;1938;1938;1;3;27;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1937;1937;1;4;4;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1936;1936;1;4;19;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1935;1935;1;3;31;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1934;1934;1;4;8;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1933;1933;1;3;26;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1932;1932;1;4;3;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1931;1931;1;4;19;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1930;1930;1;4;13;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1929;1929;1;4;21;-1;7200;2;3600;S;3;10;2;1;7200;2;$
Belgium;1928;1928;1;4;14;-1;82800;2;3600;S;3;10;2;1;7200;2;$
Belgium;1927;1927;1;4;9;-1;82800;2;3600;S;3;10;1;7;82800;2;$
Belgium;1926;1926;1;4;17;-1;82800;2;3600;S;3;10;1;7;82800;2;$
Belgium;1925;1925;1;4;4;-1;82800;2;3600;S;3;10;1;7;82800;2;$
Belgium;1924;1924;1;3;29;-1;82800;2;3600;S;3;10;1;7;82800;2;$
Belgium;1923;1923;1;4;21;-1;82800;2;3600;S;3;10;1;7;82800;2;$
Belgium;1922;1922;1;3;25;-1;82800;2;3600;S;3;10;1;7;82800;2;$
Belgium;1921;1921;1;3;14;-1;82800;2;3600;S;1;10;25;-1;82800;2;$
Belgium;1920;1920;1;2;14;-1;82800;2;3600;S;1;10;23;-1;82800;2;$
Belgium;1919;1919;1;3;1;-1;82800;2;3600;S;3;10;1;7;82800;2;$
Belgium;1918;1918;1;3;9;-1;0;2;3600;S;3;10;1;7;82800;2;$
Belize;1983;1983;0;0;0;0;0;0;0;$;1;2;12;-1;0;0;CST
Belize;1982;1982;1;12;18;-1;0;0;3600;CDT;0;0;0;0;0;0;$
Belize;1974;1974;0;0;0;0;0;0;0;$;1;2;9;-1;0;0;CST
Belize;1973;1973;1;12;5;-1;0;0;3600;CDT;0;0;0;0;0;0;$
Belize;1943;1943;0;0;0;0;0;0;0;$;3;2;9;1;0;0;CST
Belize;1919;1942;3;10;2;1;0;0;1800;-0530;3;2;9;1;0;0;CST
Belize;1918;1918;3;10;2;1;0;0;1800;-0530;0;0;0;0;0;0;$
Brazil;2038;3999;3;11;1;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2037;2037;3;11;1;1;0;0;3600;$;3;2;22;1;0;0;$
Brazil;2035;2036;3;11;1;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2034;2034;3;11;1;1;0;0;3600;$;3;2;22;1;0;0;$
Brazil;2027;2033;3;11;1;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2026;2026;3;11;1;1;0;0;3600;$;3;2;22;1;0;0;$
Brazil;2024;2025;3;11;1;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2023;2023;3;11;1;1;0;0;3600;$;3;2;22;1;0;0;$
Brazil;2018;2022;3;11;1;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2016;2017;3;10;15;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2015;2015;3;10;15;1;0;0;3600;$;3;2;22;1;0;0;$
Brazil;2013;2014;3;10;15;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2012;2012;3;10;15;1;0;0;3600;$;3;2;22;1;0;0;$
Brazil;2008;2011;3;10;15;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2007;2007;3;10;8;1;0;0;3600;$;1;2;25;-1;0;0;$
Brazil;2006;2006;1;11;5;-1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2005;2005;1;10;16;-1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2004;2004;1;11;2;-1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2003;2003;1;10;19;-1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2002;2002;1;11;3;-1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2001;2001;3;10;8;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;2000;2000;3;10;8;1;0;0;3600;$;1;2;27;-1;0;0;$
Brazil;1999;1999;1;10;3;-1;0;0;3600;$;1;2;21;-1;0;0;$
Brazil;1998;1998;1;10;11;-1;0;0;3600;$;1;3;1;-1;0;0;$
Brazil;1997;1997;1;10;6;-1;0;0;3600;$;1;2;16;-1;0;0;$
Brazil;1996;1996;1;10;6;-1;0;0;3600;$;1;2;11;-1;0;0;$
Brazil;1994;1995;3;10;11;1;0;0;3600;$;3;2;15;1;0;0;$
Brazil;1993;1993;3;10;11;1;0;0;3600;$;1;1;31;-1;0;0;$
Brazil;1992;1992;1;10;25;-1;0;0;3600;$;1;2;9;-1;0;0;$
Brazil;1991;1991;1;10;20;-1;0;0;3600;$;1;2;17;-1;0;0;$
Brazil;1990;1990;1;10;21;-1;0;0;3600;$;1;2;11;-1;0;0;$
Brazil;1989;1989;1;10;15;-1;0;0;3600;$;1;1;29;-1;0;0;$
Brazil;1988;1988;1;10;16;-1;0;0;3600;$;1;2;7;-1;0;0;$
Brazil;1987;1987;1;10;25;-1;0;0;3600;$;1;2;14;-1;0;0;$
Brazil;1986;1986;1;10;25;-1;0;0;3600;$;1;3;15;-1;0;0;$
Brazil;1985;1985;1;11;2;-1;0;0;3600;$;0;0;0;0;0;0;$
Brazil;1968;1968;0;0;0;0;0;0;0;$;1;3;1;-1;0;0;$
Brazil;1966;1967;1;11;1;-1;0;0;3600;$;1;3;1;-1;0;0;$
Brazil;1965;1965;1;12;1;-1;0;0;3600;$;0;0;0;0;0;0;$
Brazil;1965;1965;1;1;31;-1;0;0;3600;$;1;3;31;-1;0;0;$
Brazil;1964;1964;0;0;0;0;0;0;0;$;1;3;1;-1;0;0;$
Brazil;1963;1963;1;12;9;-1;0;0;3600;$;0;0;0;0;0;0;$
Brazil;1953;1953;0;0;0;0;0;0;0;$;1;3;1;-1;0;0;$
Brazil;1951;1952;1;12;1;-1;0;0;3600;$;1;4;1;-1;0;0;$
Brazil;1950;1950;1;12;1;-1;0;0;3600;$;1;4;16;-1;3600;0;$
Brazil;1949;1949;1;12;1;-1;0;0;3600;$;0;0;0;0;0;0;$
Brazil;1933;1933;0;0;0;0;0;0;0;$;1;4;1;-1;0;0;$
Brazil;1932;1932;1;10;3;-1;0;0;3600;$;1;4;1;-1;0;0;$
Brazil;1931;1931;1;10;3;-1;39600;0;3600;$;0;0;0;0;0;0;$
Bulg;1982;1982;3;4;1;7;82800;0;3600;S;0;0;0;0;0;0;$
Bulg;1981;1981;3;4;1;7;82800;0;3600;S;1;9;27;-1;7200;0;$
Bulg;1980;1980;3;4;1;7;82800;0;3600;S;1;9;29;-1;3600;0;$
Bulg;1979;1979;1;3;31;-1;82800;0;3600;S;1;10;1;-1;3600;0;$
C-Eur;1996;3999;2;3;-1;1;7200;2;3600;S;2;10;-1;1;7200;2;$
C-Eur;1981;1995;2;3;-1;1;7200;2;3600;S;2;9;-1;1;7200;2;$
C-Eur;1979;1980;3;4;1;1;7200;2;3600;S;2;9;-1;1;7200;2;$
C-Eur;1978;1978;3;4;1;1;7200;2;3600;S;1;10;1;-1;7200;2;$
C-Eur;1977;1977;3;4;1;1;7200;2;3600;S;2;9;-1;1;7200;2;$
C-Eur;1945;1945;3;4;1;2;7200;2;3600;S;1;9;16;-1;7200;2;$
C-Eur;1944;1944;3;4;1;2;7200;2;3600;S;1;10;2;-1;7200;2;$
C-Eur;1943;1943;1;3;29;-1;7200;2;3600;S;1;10;4;-1;7200;2;$
C-Eur;1942;1942;0;0;0;0;0;0;0;$;1;11;2;-1;7200;2;$
C-Eur;1940;1940;1;4;1;-1;7200;2;3600;S;0;0;0;0;0;0;$
C-Eur;1917;1918;3;4;15;2;7200;2;3600;S;3;9;15;2;7200;2;$
C-Eur;1916;1916;1;4;30;-1;82800;0;3600;S;1;10;1;-1;3600;0;$
CA;1962;1966;2;4;-1;1;3600;0;3600;D;2;10;-1;1;7200;0;S
CA;1950;1961;2;4;-1;1;3600;0;3600;D;2;9;-1;1;7200;0;S
CA;1949;1949;0;0;0;0;0;0;0;$;1;1;1;-1;7200;0;S
CA;1948;1948;1;3;14;-1;7260;0;3600;D;0;0;0;0;0;0;$
CO;1993;1993;0;0;0;0;0;0;0;$;1;4;4;-1;0;0;$
CO;1992;1992;1;5;3;-1;0;0;3600;$;0;0;0;0;0;0;$
